id,type,nome struttura,descrizione,stelle,image url,provincia,id_regione,age_target,type_of_vacation,price,discount,perbambini,animals
21,mountain,Il Rifugio Della Foresta,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Verona,20,0-18,Avventura-Benessere-Lusso,2391,20,1,1
22,city,Il Castello Di Sabbia,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/3009067/pexels-photo-3009067.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Napoli,4,19-35,Spiaggia-Lusso-Benessere,1243,0,0,0
23,city,La Casa Sulla Collina,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/3220731/pexels-photo-3220731.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Bolzano,17,36-60,Benessere-Cultura-Avventura,2895,10,1,1
24,sea,L'Oasi Della Giungla,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/4117978/pexels-photo-4117978.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Torino,12,61-130,Natura-Degustazione-Lusso,1461,20,0,0
25,city,Il Resort Del Mare,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://images.pexels.com/photos/2422259/pexels-photo-2422259.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Imperia,8,0-18,Avventura-Lusso-Natura,1181,0,1,1
26,sea,La Cittadella Del Cielo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/4117978/pexels-photo-4117978.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Cuneo,12,19-35,Lusso-Cultura-Spiaggia,942,10,0,0
27,mountain,Il Villaggio Dei Cacciatori,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/243077/pexels-photo-243077.jpeg,Milano,9,36-60,Benessere-Spiaggia-Degustazione,927,20,1,1
28,mountain,La Fattoria Sul Mare,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/2422259/pexels-photo-2422259.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Genova,8,61-130,Cultura-Avventura-Lusso,1613,0,0,0
29,city,Il Rifugio Della Natura,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",5,https://images.pexels.com/photos/243077/pexels-photo-243077.jpeg,Sondrio,9,0-18,Avventura-Natura-Degustazione,1190,10,1,1
30,mountain,L'Isola Delle Tartarughe,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/4179480/pexels-photo-4179480.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Firenze,16,19-35,Spiaggia-Lusso-Avventura,1507,20,0,0
31,city,Il Palazzo Della Regina,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/15250724/pexels-photo-15250724.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Bari,13,36-60,Lusso-Benessere-Cultura,2232,0,1,1
32,mountain,Il Castello Delle Fate,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/15405169/pexels-photo-15405169.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Aosta,19,61-130,Cultura-Spiaggia-Benessere,2621,10,0,0
33,sea,La Casa Delle Farfalle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/2225439/pexels-photo-2225439.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Roma,7,0-18,Avventura-Benessere-Natura,2091,20,1,1
34,sea,L'Oasi Delle Dune,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://images.pexels.com/photos/15250724/pexels-photo-15250724.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Foggia,13,19-35,Degustazione-Lusso-Spiaggia,2638,0,0,0
35,city,Il Resort Della Montagna,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/3220731/pexels-photo-3220731.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Trento,17,36-60,Natura-Avventura-Lusso,2875,10,1,1
36,mountain,La Cittadella Del Vento,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Venezia,20,61-130,Lusso-Degustazione-Cultura,1653,20,0,0
37,sea,Il Villaggio Dei Pescatori,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://images.pexels.com/photos/2422259/pexels-photo-2422259.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,La Spezia,8,0-18,Benessere-Natura-Spiaggia,2105,0,1,1
38,sea,La Fattoria Della Valle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://cdn.britannica.com/62/153462-050-3D4F41AF/Grand-Canal-Venice.jpg,Belluno,20,19-35,Spiaggia-Benessere-Lusso,2532,10,0,0
39,city,Il Rifugio Del Mare,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",4,https://images.pexels.com/photos/9774634/pexels-photo-9774634.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Bologna,5,36-60,Avventura-Lusso-Degustazione,1485,20,1,1
40,sea,La Casa Sull'Acqua,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam justo urna, semper vitae congue vitae, tempor vitae mi. Vivamus ultricies nunc a hendrerit dapibus. Curabitur euismod, eros ac tincidunt vehicula, arcu tellus facilisis leo, ac fringilla arcu ligula vitae purus. Phasellus leo ex, mollis non ullamcorper quis, venenatis et diam. Donec quis ante eu lacus rutrum facilisis eu in tellus. Curabitur viverra erat quam. Curabitur viverra finibus tellus, ut pellentesque elit cursus nec. Cras eget sollicitudin odio, vitae vulputate massa. Etiam vestibulum nunc condimentum imperdiet lacinia. Nam quis molestie elit. Quisque tempus consectetur tellus non consequat. Morbi imperdiet, mi eu lacinia dictum, lectus risus porta metus, placerat viverra magna ipsum eget diam. Nulla facilisi. Maecenas felis libero, placerat scelerisque faucibus ut, efficitur non felis. Curabitur bibendum, tellus quis ultrices commodo, velit felis fringilla mauris, condimentum volutpat lorem nulla et felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam convallis rhoncus elit et blandit. Quisque sed massa non ligula aliquet placerat. Donec in ipsum nec lorem vehicula dignissim. Duis placerat pellentesque metus vitae pharetra.",3,https://images.pexels.com/photos/4179480/pexels-photo-4179480.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Livorno,16,61-130,Cultura-Natura-Benessere,2911,0,0,0
